,Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1826,1827,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-01-01
305,306,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,2020-01-01
1325,1326,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020-01-01
1658,1659,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,2020-01-01
1138,1139,Agra,Fatehpur Sikri,Potato,Local,FAQ,1400,1520,1455,2020-01-01
1471,1472,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-01
1470,1471,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-02
590,591,Agra,Agra,Potato,Desi,FAQ,1300,1500,1400,2020-01-02
1324,1325,Agra,Jagnair,Potato,Desi,FAQ,1200,1400,1300,2020-01-02
1657,1658,Agra,Khairagarh,Potato,Desi,FAQ,1200,1300,1250,2020-01-02
1137,1138,Agra,Fatehpur Sikri,Potato,Local,FAQ,1360,1500,1420,2020-01-02
1825,1826,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-01-02
848,849,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,2020-01-02
589,590,Agra,Agra,Potato,Desi,FAQ,1300,1450,1380,2020-01-03
1656,1657,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-01-03
1323,1324,Agra,Jagnair,Potato,Desi,FAQ,1250,1300,1275,2020-01-03
1136,1137,Agra,Fatehpur Sikri,Potato,Local,FAQ,1370,1500,1435,2020-01-03
304,305,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,2020-01-03
1469,1470,Agra,Jarar,Potato,Desi,FAQ,1200,1280,1240,2020-01-03
847,848,Agra,Fatehabad,Potato,Desi,FAQ,1180,1250,1200,2020-01-03
588,589,Agra,Agra,Potato,Desi,FAQ,1240,1400,1310,2020-01-04
1322,1323,Agra,Jagnair,Potato,Desi,FAQ,1220,1280,1250,2020-01-04
1824,1825,Agra,Samsabad,Potato,Local,FAQ,1100,1300,1200,2020-01-04
1655,1656,Agra,Khairagarh,Potato,Desi,FAQ,1000,1200,1100,2020-01-04
303,304,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-01-04
846,847,Agra,Fatehabad,Potato,Desi,FAQ,1170,1250,1200,2020-01-04
302,303,Agra,Achnera,Potato,Desi,FAQ,1280,1360,1320,2020-01-05
1321,1322,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020-01-05
1654,1655,Agra,Khairagarh,Potato,Desi,FAQ,1100,1200,1150,2020-01-05
1468,1469,Agra,Jarar,Potato,Desi,FAQ,1200,1300,1250,2020-01-05
1823,1824,Agra,Samsabad,Potato,Local,FAQ,1000,1200,1100,2020-01-05
845,846,Agra,Fatehabad,Potato,Desi,FAQ,1180,1220,1200,2020-01-06
1320,1321,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020-01-06
301,302,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,2020-01-06
1135,1136,Agra,Fatehpur Sikri,Potato,Local,FAQ,1300,1500,1385,2020-01-06
587,588,Agra,Agra,Potato,Desi,FAQ,1200,1350,1280,2020-01-06
